iter	Passed	Remaining
0	1	144
1	2	121
2	3	120
3	6	161
4	8	156
5	9	150
6	10	145
7	12	143
8	14	144
9	15	142
10	17	141
11	19	140
12	23	154
13	25	155
14	26	152
15	28	149
16	30	148
17	31	145
18	33	142
19	36	144
20	38	144
21	39	140
22	40	137
23	42	134
24	43	131
25	44	127
26	46	124
27	47	121
28	48	118
29	50	118
30	52	117
31	54	116
32	55	113
33	57	111
34	58	109
35	60	107
36	61	104
37	63	102
38	65	102
39	67	100
40	69	99
41	70	97
42	73	96
43	75	96
44	78	96
45	81	95
46	83	94
47	85	92
48	87	91
49	89	89
50	91	88
51	93	86
52	95	84
53	97	83
54	98	80
55	100	78
56	101	76
57	103	75
58	105	73
59	106	70
60	108	69
61	111	68
62	112	66
63	114	64
64	115	62
65	117	60
66	119	58
67	121	57
68	124	55
69	126	54
70	128	52
71	130	50
72	133	49
73	134	47
74	137	45
75	139	44
76	142	42
77	145	40
78	147	39
79	150	37
80	152	35
81	155	34
82	157	32
83	160	30
84	162	28
85	165	26
86	167	25
87	170	23
88	173	21
89	175	19
90	177	17
91	179	15
92	182	13
93	184	11
94	187	9
95	190	7
96	192	5
97	195	3
98	197	1
99	200	0
